Reference,Value,Datasheet,Footprint,Qty
"C1,C3,C5",0.1u,~,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm,3
C2,100u,~,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,1
C4,10u,~,Capacitor_THT:CP_Radial_D4.0mm_P2.00mm,1
C6,47u,~,Capacitor_THT:CP_Radial_D4.0mm_P2.00mm,1
"D1,D2,D3,D4",LED,~,LED_THT:LED_D3.0mm,4
"D5,D6",1N4007,http://www.vishay.com/docs/88503/1n4001.pdf,Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_KathodeUp,2
D7,SBM245L,~,Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_KathodeUp,1
F1,Fuse,~,MyFoot:FUC-03A,1
"J1,J2,J3,J4,J12",Conn_01x02_Socket,~,MyFoot:DF1E-2P-2.5DS,5
J5,Conn_01x05_Socket,~,MyFoot:DF1E-5P-2.5DS,1
"J6,J7,J8,J9",Conn_01x03_Socket,~,MyFoot:DF1E-3P-2.5DS,4
J10,XT60_Male,~,MyFoot:AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1
J11,Conn_01x03_Pin,~,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,1
MES1,Voltmeter_DC,~,MyFoot:DF1EC-2P-2.5DSA,1
R1,180,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1
RN1,1k~10k,http://www.vishay.com/docs/31509/csc.pdf,Resistor_THT:R_Array_SIP5,1
RN2,220~1k,http://www.vishay.com/docs/31509/csc.pdf,Resistor_THT:R_Array_SIP5,1
RN3,330~1k,http://www.vishay.com/docs/31509/csc.pdf,Resistor_THT:R_Array_SIP5,1
RV1,R_Potentiometer,~,MyFoot:3386K-EY5-202TR,1
U1,TBD62783A,http://toshiba.semicon-storage.com/info/docget.jsp?did=30523&prodName=TBD62783APG,Package_DIP:DIP-18_W7.62mm,1
U2,LTV-847,http://optoelectronics.liteon.com/upload/download/DS-70-96-0016/LTV-8X7%20series.PDF,Package_DIP:DIP-16_W7.62mm,1
U3,NJM317F,https://akizukidenshi.com/goodsaffix/NJM317_j.pdf,Package_TO_SOT_THT:TO-220-3_Vertical,1
