"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3,C4,C6,C8,C11,C13,C17,C18","0.1u","~","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","10",""
"C5,C10","100u","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","2",""
"C7,C12","10u","~","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","2",""
"C9,C14","47u","~","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","2",""
"C15","0.33u","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1",""
"C16","22u","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1",""
"D1,D2,D3,D4,D9,D10,D11,D12,D13","SBM245L","~","Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_KathodeUp","9",""
"D5,D6,D7,D8","LED","~","LED_THT:LED_D3.0mm","4",""
"D14","1N4148","~","Diode_THT:D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp","1",""
"D15,D16,D17,D18","1N4007","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_KathodeUp","4",""
"F1,F2","Fuse","~","MyFoot:FUC-03A","2",""
"J1,J2","Barrel_Jack_Switch","~","MyFoot:BarrelJack_GCT_DCJ200-10-A_Horizontal","2",""
"J3,J5","XT60","~","MyFoot:AMASS_XT60PW-M_1x02_P7.20mm_Horizontal","2",""
"J7,J8,J9,J10,J11","HRS_DF1E_2Pin","~","MyFoot:DF1E-2P-2.5DS","5",""
"J12","USB_A","~","Connector_USB:USB_A_Molex_67643_Horizontal","1",""
"J13","HRS_DF1EC_2Pin","~","MyFoot:DF1EC-2P-2.5DSA","1",""
"K1","942H-2C-5DS","https://omronfs.omron.com/en_US/ecb/products/pdf/en-g2rl.pdf","Relay_THT:Relay_DPDT_Omron_G2RL-2","1",""
"Q1","2SC1815","https://media.digikey.com/pdf/Data%20Sheets/Toshiba%20PDFs/2SC1815.pdf","Package_TO_SOT_THT:TO-92_Inline","1",""
"R1","2.2k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R2,R3,R4,R10","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","4",""
"R5,R6,R7,R8","1.5k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","4",""
"R9","5.1k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R11","200","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R12,R13","180","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","2",""
"RV1,RV2","R_Potentiometer","~","MyFoot:3386K-EY5-202TR","2",""
"SW1","SW_Push","~","Button_Switch_THT:SW_PUSH-12mm","1",""
"SW2,SW3","SW_SPDT","~","MyFoot:2MS1-T1-B4-M2-Q-E","2",""
"SW4","IS-2235-G","~","MyFoot:IS-2235-G","1",""
"U1","TLP785","https://toshiba.semicon-storage.com/info/docget.jsp?did=10569&prodName=TLP785","Package_DIP:DIP-4_W7.62mm","1",""
"U2","4584","","Package_DIP:DIP-14_W7.62mm_Socket","1",""
"U3","4013","http://www.onsemi.com/pub/Collateral/MC14013B-D.PDF","Package_DIP:DIP-14_W7.62mm_Socket","1",""
"U4,U5","NJM317F","https://akizukidenshi.com/goodsaffix/NJM317_j.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","2",""
"U6","NJM2396F","https://www.onsemi.com/pub/Collateral/KA378R05-D.pdf","Package_TO_SOT_THT:TO-220-4_Vertical","1",""
